session_id,user_id,event_time,event_name,channel
166585,7890,2026-06-01 09:03:00,app_launch,小红书种草
166585,7890,2026-06-01 09:04:00,ai_plan,小红书种草
166585,7890,2026-06-01 09:05:00,view_spot,小红书种草
166585,7890,2026-06-01 09:08:00,view_spot,小红书种草
166585,7890,2026-06-01 09:11:00,view_spot,小红书种草
166585,7890,2026-06-01 09:11:00,add_favorite,小红书种草
86811,4107,2026-06-01 09:32:00,app_launch,小红书种草
86811,4107,2026-06-01 09:33:00,ai_plan,小红书种草
86811,4107,2026-06-01 09:34:00,view_spot,小红书种草
86811,4107,2026-06-01 09:37:00,view_spot,小红书种草
86811,4107,2026-06-01 09:40:00,view_spot,小红书种草
166584,7890,2026-06-01 10:32:00,app_launch,小红书种草
86810,4107,2026-06-01 10:47:00,app_launch,小红书种草
86810,4107,2026-06-01 10:48:00,ai_plan,小红书种草
152936,7245,2026-06-01 11:58:00,app_launch,抖音信息流
152936,7245,2026-06-01 11:59:00,ai_plan,抖音信息流
11273,534,2026-06-01 13:20:00,app_launch,小红书种草
11273,534,2026-06-01 13:21:00,ai_plan,小红书种草
11273,534,2026-06-01 13:22:00,view_spot,小红书种草
11273,534,2026-06-01 13:25:00,view_spot,小红书种草
11273,534,2026-06-01 13:30:00,create_order,小红书种草
11273,534,2026-06-01 13:31:00,pay_order,小红书种草
86812,4107,2026-06-01 14:28:00,app_launch,小红书种草
86812,4107,2026-06-01 14:29:00,ai_plan,小红书种草
86812,4107,2026-06-01 14:30:00,view_spot,小红书种草
86812,4107,2026-06-01 14:38:00,create_order,小红书种草
86812,4107,2026-06-01 14:39:00,pay_order,小红书种草
119101,5635,2026-06-01 17:44:00,app_launch,自然流量
119101,5635,2026-06-01 17:45:00,ai_plan,自然流量
152935,7245,2026-06-01 18:00:00,app_launch,抖音信息流
166583,7890,2026-06-01 20:29:00,app_launch,小红书种草
166583,7890,2026-06-01 20:30:00,ai_plan,小红书种草
166583,7890,2026-06-01 20:31:00,view_spot,小红书种草
166583,7890,2026-06-01 20:34:00,view_spot,小红书种草
166583,7890,2026-06-01 20:37:00,view_spot,小红书种草
166583,7890,2026-06-01 20:37:00,add_favorite,小红书种草
166583,7890,2026-06-01 20:40:00,view_spot,小红书种草
104393,4941,2026-06-01 21:01:00,app_launch,微信分享裂变
104393,4941,2026-06-01 21:02:00,ai_plan,微信分享裂变
39079,1841,2026-06-02 07:49:00,app_launch,自然流量
39079,1841,2026-06-02 07:50:00,ai_plan,自然流量
39079,1841,2026-06-02 07:51:00,view_spot,自然流量
39079,1841,2026-06-02 07:54:00,view_spot,自然流量
39079,1841,2026-06-02 07:59:00,create_order,自然流量
39079,1841,2026-06-02 08:00:00,pay_order,自然流量
158693,7516,2026-06-02 08:06:00,app_launch,抖音信息流
158693,7516,2026-06-02 08:07:00,ai_plan,抖音信息流
158693,7516,2026-06-02 08:08:00,view_spot,抖音信息流
158693,7516,2026-06-02 08:11:00,view_spot,抖音信息流
27239,1279,2026-06-02 08:16:00,app_launch,微信分享裂变
27239,1279,2026-06-02 08:17:00,ai_plan,微信分享裂变
27239,1279,2026-06-02 08:18:00,view_spot,微信分享裂变
27239,1279,2026-06-02 08:21:00,view_spot,微信分享裂变
27239,1279,2026-06-02 08:26:00,create_order,微信分享裂变
27239,1279,2026-06-02 08:27:00,pay_order,微信分享裂变
158692,7516,2026-06-02 09:13:00,app_launch,抖音信息流
56985,2666,2026-06-02 09:53:00,app_launch,微信分享裂变
56985,2666,2026-06-02 09:54:00,ai_plan,微信分享裂变
75605,3567,2026-06-02 10:02:00,app_launch,微信分享裂变
75605,3567,2026-06-02 10:03:00,ai_plan,微信分享裂变
75605,3567,2026-06-02 10:04:00,view_spot,微信分享裂变
116939,5535,2026-06-02 10:53:00,app_launch,微信分享裂变
116939,5535,2026-06-02 10:54:00,ai_plan,微信分享裂变
3008,137,2026-06-02 11:40:00,app_launch,高校地推
3008,137,2026-06-02 11:41:00,ai_plan,高校地推
3009,137,2026-06-02 13:17:00,app_launch,高校地推
3009,137,2026-06-02 13:18:00,ai_plan,高校地推
134780,6377,2026-06-02 13:42:00,app_launch,自然流量
134780,6377,2026-06-02 13:43:00,ai_plan,自然流量
134780,6377,2026-06-02 13:44:00,view_spot,自然流量
134780,6377,2026-06-02 13:47:00,view_spot,自然流量
134780,6377,2026-06-02 13:50:00,add_favorite,自然流量
134780,6377,2026-06-02 13:52:00,create_order,自然流量
164805,7805,2026-06-02 13:57:00,app_launch,自然流量
164805,7805,2026-06-02 13:58:00,ai_plan,自然流量
164805,7805,2026-06-02 13:59:00,view_spot,自然流量
164805,7805,2026-06-02 14:02:00,view_spot,自然流量
164805,7805,2026-06-02 14:07:00,create_order,自然流量
164805,7805,2026-06-02 14:08:00,pay_order,自然流量
166586,7890,2026-06-02 14:54:00,app_launch,小红书种草
166586,7890,2026-06-02 14:55:00,ai_plan,小红书种草
166586,7890,2026-06-02 14:56:00,view_spot,小红书种草
166586,7890,2026-06-02 14:59:00,view_spot,小红书种草
166586,7890,2026-06-02 15:02:00,view_spot,小红书种草
166586,7890,2026-06-02 15:05:00,view_spot,小红书种草
39080,1841,2026-06-02 15:08:00,app_launch,自然流量
162077,7674,2026-06-02 16:02:00,app_launch,抖音信息流
26871,1263,2026-06-02 17:12:00,app_launch,抖音信息流
