user_id,register_time,channel,city_tier,device,age
2216,2026-07-31 16:26:00,自然流量,三线及以下,Android,21
2583,2026-07-15 16:03:00,自然流量,三线及以下,Android,22
1663,2026-06-30 17:58:00,微信分享裂变,三线及以下,iOS,23
3028,2026-07-04 02:04:00,微信分享裂变,二线,Android,20
4344,2026-06-11 14:54:00,自然流量,二线,Android,20
2681,2026-08-11 08:03:00,微信分享裂变,一线,Android,18
1766,2026-06-17 01:28:00,自然流量,一线,Android,28
1124,2026-07-03 12:14:00,自然流量,二线,iOS,22
4055,2026-07-12 20:06:00,微信分享裂变,一线,iOS,33
3762,2026-07-02 04:29:00,抖音信息流,二线,iOS,29
1536,2026-06-23 11:43:00,抖音信息流,一线,Android,23
2945,2026-07-10 17:37:00,自然流量,三线及以下,iOS,29
2988,2026-06-11 13:00:00,抖音信息流,一线,Android,20
4292,2026-06-12 19:41:00,自然流量,三线及以下,iOS,24
4343,2026-07-15 11:33:00,抖音信息流,新一线,iOS,18
4425,2026-06-22 07:44:00,小红书种草,三线及以下,iOS,21
7942,2026-06-24 06:11:00,抖音信息流,一线,iOS,22
4998,2026-06-09 17:30:00,抖音信息流,一线,Android,18
2749,2026-07-27 16:45:00,抖音信息流,新一线,iOS,23
2303,2026-07-07 04:09:00,抖音信息流,一线,iOS,26
3933,2026-07-22 22:42:00,抖音信息流,三线及以下,Android,18
5957,2026-06-24 02:43:00,抖音信息流,一线,Android,29
6132,2026-08-09 00:19:00,小红书种草,一线,Android,18
7597,2026-07-04 12:08:00,自然流量,三线及以下,iOS,18
795,2026-06-23 05:26:00,自然流量,一线,Android,30
3164,2026-07-08 23:39:00,小红书种草,新一线,Android,23
7941,2026-06-22 11:30:00,自然流量,一线,iOS,25
3182,2026-06-18 20:45:00,自然流量,一线,iOS,20
764,2026-06-10 04:34:00,自然流量,一线,Android,21
3079,2026-07-28 23:47:00,小红书种草,一线,Android,24
812,2026-07-05 17:02:00,自然流量,三线及以下,Android,20
7260,2026-08-07 12:52:00,自然流量,新一线,iOS,34
6932,2026-07-12 14:15:00,小红书种草,一线,iOS,18
1619,2026-07-18 07:05:00,高校地推,二线,Android,30
6827,2026-06-18 16:44:00,自然流量,新一线,Android,26
1043,2026-06-25 20:48:00,小红书种草,三线及以下,iOS,35
5319,2026-06-28 14:28:00,抖音信息流,二线,Android,22
4795,2026-06-20 05:25:00,抖音信息流,二线,iOS,29
488,2026-06-10 00:40:00,自然流量,二线,iOS,23
1018,2026-07-20 11:37:00,微信分享裂变,新一线,iOS,26
